tech,bl,avg_cf_gesamt,avg_cf_gesamt_power_weighted,nettonennleistung_gesamt,anzahl_gesamt
wind,Ausschließliche Wirtschaftszone,0.5904017871248036,0.592757380583356,10604168.0,1688
wind,Baden-Württemberg,0.18381972812692507,0.21084430446211347,2766545.0430000005,1082
wind,Bayern,0.19203092547519648,0.2235533868598535,3046544.8049999997,1438
wind,Berlin,0.2514437500000001,0.2826873463065302,16575.2,10
wind,Brandenburg,0.27309216560857746,0.29208243960311,10714530.57,4568
wind,Bremen,0.27628758591065294,0.31114511790779326,218914.0,97
wind,Hamburg,0.29592711187214593,0.3266229546021403,129100.8,73
wind,Hessen,0.2378989039790314,0.2618861498996603,3559388.93,1399
wind,Mecklenburg-Vorpommern,0.3294239979369276,0.3553521415820062,5468904.32,2262
wind,Niedersachsen,0.30222302800293044,0.3252374902441566,16381888.40000001,7280
wind,Nordrhein-Westfalen,0.2828662616454337,0.3114134969300784,12162759.749999998,4866
wind,Rheinland-Pfalz,0.23355511613691857,0.24730632950733827,5049892.899999999,2045
wind,Saarland,0.2521087691771268,0.26736935257406064,620037.2,239
wind,Sachsen,0.2073301926100629,0.24502533607945576,1810973.53,1060
wind,Sachsen-Anhalt,0.2371967271293389,0.2545541553316667,6690743.6,3170
wind,Schleswig-Holstein,0.3436749098837223,0.3690723920323925,11477264.34,4300
wind,Thüringen,0.23419500955109743,0.2568636908141637,2496912.619,1047
